questionTitle,questionType,questionDescription,correctOptionNumbers,positiveMarks,negativeMarks,questionAnswerExplanation,questionOption1,questionOption2,questionOption3,questionOption4
Question 1,single-correct,What does an INNER JOIN return?,2,1,0,It returns only matched rows from both tables.,All rows from left,Matched rows only,All rows from right,Unmatched only
Question 2,single-correct,Which clause filters on aggregated values in SQL?,2,1,0,HAVING filters after GROUP BY.,WHERE,HAVING,GROUP BY,SELECT
Question 3,single-correct,What is the role of a foreign key in relational databases?,3,1,0,It enforces referential integrity between tables.,Enforces uniqueness,Performs aggregation,Enforces referential integrity,Defines keys
Question 4,single-correct,What does the COUNT(*) function return?,2,1,0,"It returns total number of rows, including NULLs.",Only non-NULL rows,Total rows,Only NULLs,Only numeric values
Question 5,single-correct,Which command shows a query's execution plan?,1,1,0,`EXPLAIN` provides query plan insights.,EXPLAIN,EXISTS,SHOW PLAN,QUERY PLAN
Question 6,single-correct,Which SQL window function provides row-wise rank in a partition?,1,1,0,ROW_NUMBER() ranks rows within partitions.,ROW_NUMBER(),LAG(),LEAD(),GROUP_RANK()
Question 7,single-correct,What does a materialized view do?,3,1,0,It stores the precomputed result of a query.,Runs in memory,Creates indexes,Stores query result,Disables updates
Question 8,single-correct,Which isolation level allows non-repeatable reads?,2,1,0,Read Committed allows them.,Serializable,Read Committed,Read Uncommitted,Repeatable Read
Question 9,single-correct,Which statement updates or inserts data based on matching keys?,3,1,0,MERGE is used for UPSERT logic.,INSERT ON CONFLICT,SELECT ... INTO,MERGE,UPDATE OR ADD
Question 10,single-correct,Which function accesses a previous row’s value in window functions?,2,1,0,LAG provides previous row value in window partitions.,ROW_NUMBER(),LAG(),LEAD(),SUM()
